Source,ID,Title,Publication_type,Journal,Year_publication,Doi,Geography,Higher_geography,H_5,Year_study,Species_name,Genus,Species,Subspecies,Family,weight_bat_reported,weight_bat_mean,weight_bat_min,weight_bat_max,Type_device,Device_type_category,kind_device,VHF,device_weight_reported,weight_device,weight_device_min,weight_device_max,device_over5,device_%,device_%_min,device_%_max,Contact_authors,Authors_reply,Assignment,Validation
Omara_et_al_2014,Other_Omara_015,"Bat mobility and roosts in a fragmented landscape in central amazonia, brazil",Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00285.x,"Alter do Chao, Brazil",Neotropical,No,2000 ; 2002,Carollia perspicillata,Carollia,perspicillata,NA,Phyllostomidae,Yes,17,16,18,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.62,1.05,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_015,"Bat mobility and roosts in a fragmented landscape in central amazonia, brazil",Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00285.x,"Alter do Chao, Brazil",Neotropical,No,2000 ; 2002,Carollia perspicillata,Carollia,perspicillata,NA,Phyllostomidae,Yes,16,15,17,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.62,1.05,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_015,"Bat mobility and roosts in a fragmented landscape in central amazonia, brazil",Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00285.x,"Alter do Chao, Brazil",Neotropical,No,2000 ; 2002,Mimon crenulatum,Mimon,crenulatum,NA,Phyllostomidae,Yes,15,14,15,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.62,1.05,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_015,"Bat mobility and roosts in a fragmented landscape in central amazonia, brazil",Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00285.x,"Alter do Chao, Brazil",Neotropical,No,2000 ; 2002,Tonatia saurophila,Tonatia,saurophila,NA,Phyllostomidae,Yes,22,22,22,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.62,1.05,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_015,"Bat mobility and roosts in a fragmented landscape in central amazonia, brazil",Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00285.x,"Alter do Chao, Brazil",Neotropical,No,2000 ; 2002,Tonatia silvicola,Tonatia,silvicola,NA,Phyllostomidae,Yes,35,34,35,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.62,1.05,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_015,"Bat mobility and roosts in a fragmented landscape in central amazonia, brazil",Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00285.x,"Alter do Chao, Brazil",Neotropical,No,2000 ; 2002,Tonatia silvicola,Tonatia,silvicola,NA,Phyllostomidae,Yes,33,32,34,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.62,1.05,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_015,"Bat mobility and roosts in a fragmented landscape in central amazonia, brazil",Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00285.x,"Alter do Chao, Brazil",Neotropical,No,2000 ; 2002,Trachops cirrhosus,Trachops,cirrhosus,NA,Phyllostomidae,Yes,39,39,39,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.62,1.05,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_016,"Selection of gambel oak roosts by southwestern Myotis in ponderosa pine-dominated forests, Northern Arizona",Research,Journal of Wildlife Management,2004,http://www.jstor.org/stable/3803393,"Arizona, USA",Nearctic,Yes,1999-2000,Myotis auriculus,Myotis,auriculus,NA,Vespertilionidae,Provided by author(s),>7,>7,>7,VHF transmitter,VHF transmitter,Holohil LB-2,Yes,No,NA,NA,NA,Yes,<7,NA,NA,Yes,Yes,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_017,Roost selection by the forest-dwelling bat Myotis bechsteinii (mammalia: Chiroptera): Implications for its conservation in managed woodlands,Research,Bulletin de la société neuchâteloise des sciences naturelles,2012,https://www.researchgate.net/publication/295813201_ROOST_SELECTION_BY_THE_FOREST-DWELLING_BAT_MYOTIS_BECHSTEINII_MAMMALIA_CHIROPTERA_IMPLICATIONS_FOR_ITS_CONSERVATION_IN_MANAGED_WOODLANDS,Switzerland,Palearctic,Yes,2005,Myotis bechsteinii,Myotis,bechsteinii,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2N ; Holohil BD-2T,Yes,Yes,NA,0.43,0.67,Some,NA,5,10,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_018,"HOME RANGE, TERRITORIALITY, AND FLIGHT TIME BUDGETS IN THE BLACK-BELLIED FRUIT BAT, MELONYCTERIS MELANOPS",Research,Journal of Mammalogy,2005,https://doi.org/10.1644/1545-1542(2005)86[931:HRTAFT]2.0.CO;2,Papua New Guinea,Australasian,No,2001-2003,Melonycteris melanops,Melonycteris,melanops,NA,Pteropodidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil MD-2CP,Yes,Yes,1.7,1.7,1.7,No,NA,3,4,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_018,"HOME RANGE, TERRITORIALITY, AND FLIGHT TIME BUDGETS IN THE BLACK-BELLIED FRUIT BAT, MELONYCTERIS MELANOPS",Research,Journal of Mammalogy,2005,https://doi.org/10.1644/1545-1542(2005)86[931:HRTAFT]2.0.CO;2,Papua New Guinea,Australasian,No,2001-2003,Melonycteris melanops,Melonycteris,melanops,NA,Pteropodidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil MD-2CP,Yes,Yes,1.7,1.7,1.7,No,NA,3,4,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_019,"Home range of dobsonia minor (pteropodidae): A solitary, foliage-roosting fruit bat in papua new Guinea",Research,Biotropica,2002,https://doi.org/10.1111/j.1744-7429.2002.tb00248.x,"Madang Province, Papua New Guinea",Australasian,No,1997-1999,Dobsonia minor,Dobsonia,minor,NA,Pteropodidae,Yes,88,74,102,VHF transmitter,VHF transmitter,Holohil PD-2CP,Yes,Yes,3.5,NA,NA,No,4,4,4,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_019,"Home range of dobsonia minor (pteropodidae): A solitary, foliage-roosting fruit bat in papua new Guinea",Research,Biotropica,2002,https://doi.org/10.1111/j.1744-7429.2002.tb00248.x,"Madang Province, Papua New Guinea",Australasian,No,1997-1999,Dobsonia minor,Dobsonia,minor,NA,Pteropodidae,Yes,82,76,90,VHF transmitter,VHF transmitter,Holohil PD-2CP,Yes,Yes,3.5,NA,NA,No,4,4,4,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_020,Evidence for exploitative competition: Comparative foraging behavior and roosting ecology of short-tailed fruit bats (phyllostomidae),Research,Biotropica,2007,https://doi.org/10.1111/j.1744-7429.2006.00251.x,"Orellana Province, Ecuador",Neotropical,Yes,2002 ; 2003,Carollia castanea,Carollia,castanea,NA,Phyllostomidae,Yes,12,11,12,VHF transmitter,VHF transmitter,Holohil LB-2 ; Holohil BD-2A,Yes,Yes,NA,0.47,0.63,Some,NA,2.8,5.5,No,NA,Co-authors,Co-authors
